,M0,T/m
1.5,1.5,725.6272912480287
1.51,1.51,727.9711429603143
1.52,1.52,730.2808638240391
1.53,1.53,732.5565796896649
1.54,1.54,734.7984182322684
1.55,1.55,737.0065088916436
1.56,1.56,739.180982813195
1.57,1.57,741.3219727896287
1.58,1.58,743.4296132034395
1.59,1.59,745.5040399702128
1.6,1.6,747.545390482728
1.61,1.61,749.5538035558862
1.62,1.62,751.5294193724495
1.6300000000000001,1.6300000000000001,753.4723794296057
1.6400000000000001,1.6400000000000001,755.3828264863533
1.6500000000000001,1.6500000000000001,757.2609045117118
1.6600000000000001,1.6600000000000001,759.1067586337582
1.6700000000000002,1.6700000000000002,760.9205350894879
1.6800000000000002,1.6800000000000002,762.702381175501
1.6900000000000002,1.6900000000000002,764.4524451995161
1.7000000000000002,1.7000000000000002,766.1708764327043
1.7100000000000002,1.7100000000000002,767.8578250628469
1.7200000000000002,1.7200000000000002,769.5134421483147
1.7300000000000002,1.7300000000000002,771.1378795728618
1.7400000000000002,1.7400000000000002,772.7312900012365
1.7500000000000002,1.7500000000000002,774.293826835604
1.7600000000000002,1.7600000000000002,775.8256441727741
1.7700000000000002,1.7700000000000002,777.3268967622341
1.7800000000000002,1.7800000000000002,778.797739964984
1.7900000000000003,1.7900000000000003,780.2383297131609
1.8000000000000003,1.8000000000000003,781.6488224704585
1.8100000000000003,1.8100000000000003,783.0293751933262
1.8200000000000003,1.8200000000000003,784.38014529295
1.8300000000000003,1.8300000000000003,785.7012905980077
1.8400000000000003,1.8400000000000003,786.9929693181865
1.8500000000000003,1.8500000000000003,788.2553400084637
1.8600000000000003,1.8600000000000003,789.4885615341442
1.8700000000000003,1.8700000000000003,790.6927930366373
1.8800000000000003,1.8800000000000003,791.8681938999831
1.8900000000000003,1.8900000000000003,793.0149237181053
1.9000000000000004,1.9000000000000004,794.1331422627914
1.9100000000000004,1.9100000000000004,795.2230094523918
1.9200000000000004,1.9200000000000004,796.2846853212288
1.9300000000000004,1.9300000000000004,797.3183299897097
1.9400000000000004,1.9400000000000004,798.3241036351307
1.9500000000000004,1.9500000000000004,799.3021664631699
1.9600000000000004,1.9600000000000004,800.2526786800636
1.9700000000000004,1.9700000000000004,801.1758004654412
1.9800000000000004,1.9800000000000004,802.071691945833
1.9900000000000004,1.9900000000000004,802.9405131688261
2.0000000000000004,2.0000000000000004,803.7824240778672
2.0100000000000007,2.0100000000000007,804.5975844876979
2.0200000000000005,2.0200000000000005,805.3861540604236
2.0300000000000002,2.0300000000000002,806.1482922821962
2.0400000000000005,2.0400000000000005,806.8841584405088
2.0500000000000007,2.0500000000000007,807.5939116020943
2.0600000000000005,2.0600000000000005,808.2777105914125
2.0700000000000003,2.0700000000000003,808.9357139697233
2.0800000000000005,2.0800000000000005,809.5680800147347
2.0900000000000007,2.0900000000000007,810.1749667008204
2.1000000000000005,2.1000000000000005,810.756531679785
2.1100000000000003,2.1100000000000003,811.3129322621916
2.1200000000000006,2.1200000000000006,811.844325399216
2.130000000000001,2.130000000000001,812.3508676650442
2.1400000000000006,2.1400000000000006,812.8327152397808
2.1500000000000004,2.1500000000000004,813.2900238928786
2.1600000000000006,2.1600000000000006,813.7229489670704
2.170000000000001,2.170000000000001,814.1316453627986
2.1800000000000006,2.1800000000000006,814.5162675231295
2.1900000000000004,2.1900000000000004,814.876969419149
2.2000000000000006,2.2000000000000006,815.2139045358284
2.210000000000001,2.210000000000001,815.5272258583516
2.2200000000000006,2.2200000000000006,815.817085858897
2.2300000000000004,2.2300000000000004,816.0836364838626
2.2400000000000007,2.2400000000000007,816.3270291415317
2.250000000000001,2.250000000000001,816.5474146901626
2.2600000000000007,2.2600000000000007,816.744943426502
2.2700000000000005,2.2700000000000005,816.9197650747133
2.2800000000000007,2.2800000000000007,817.0720287757009
2.290000000000001,2.290000000000001,817.2018830768401
2.3000000000000007,2.3000000000000007,817.309475922091
2.3100000000000005,2.3100000000000005,817.3949546424948
2.3200000000000007,2.3200000000000007,817.4584659470426
2.330000000000001,2.330000000000001,817.500155913907
