,M0,T/m
1.5,1.5,810.5059097656654
1.51,1.51,813.1705262804477
1.52,1.52,815.7975239000037
1.53,1.53,818.3870372284968
1.54,1.54,820.9392028710864
1.55,1.55,823.4541593687549
1.56,1.56,825.9320471339895
1.57,1.57,828.3730083873294
1.58,1.58,830.7771870947782
1.59,1.59,833.1447289060968
1.6,1.6,835.4757810939741
1.61,1.61,837.7704924940833
1.62,1.62,840.0290134460244
1.6300000000000001,1.6300000000000001,842.251495735163
1.6400000000000001,1.6400000000000001,844.4380925353554
1.6500000000000001,1.6500000000000001,846.5889583525751
1.6600000000000001,1.6600000000000001,848.7042489694309
1.6700000000000002,1.6700000000000002,850.7841213905846
1.6800000000000002,1.6800000000000002,852.8287337890622
1.6900000000000002,1.6900000000000002,854.8382454534632
1.7000000000000002,1.7000000000000002,856.8128167360627
1.7100000000000002,1.7100000000000002,858.7526090018067
1.7200000000000002,1.7200000000000002,860.6577845782006
1.7300000000000002,1.7300000000000002,862.528506706078
1.7400000000000002,1.7400000000000002,864.3649394912629
1.7500000000000002,1.7500000000000002,866.1672478571099
1.7600000000000002,1.7600000000000002,867.9355974979204
1.7700000000000002,1.7700000000000002,869.6701548332308
1.7800000000000002,1.7800000000000002,871.3710869629748
1.7900000000000003,1.7900000000000003,873.0385616235023
1.8000000000000003,1.8000000000000003,874.6727471444601
1.8100000000000003,1.8100000000000003,876.2738124065222
1.8200000000000003,1.8200000000000003,877.8419267999681
1.8300000000000003,1.8300000000000003,879.3772601841008
1.8400000000000003,1.8400000000000003,880.8799828474956
1.8500000000000003,1.8500000000000003,882.3502654690777
1.8600000000000003,1.8600000000000003,883.7882790800179
1.8700000000000003,1.8700000000000003,885.1941950264386
1.8800000000000003,1.8800000000000003,886.5681849329272
1.8900000000000003,1.8900000000000003,887.9104206668443
1.9000000000000004,1.9000000000000004,889.2210743034183
1.9100000000000004,1.9100000000000004,890.5003180916234
1.9200000000000004,1.9200000000000004,891.7483244208291
1.9300000000000004,1.9300000000000004,892.9652657882116
1.9400000000000004,1.9400000000000004,894.1513147669215
1.9500000000000004,1.9500000000000004,895.306643974997
1.9600000000000004,1.9600000000000004,896.431426045016
1.9700000000000004,1.9700000000000004,897.5258335944734
1.9800000000000004,1.9800000000000004,898.5900391968817
1.9900000000000004,1.9900000000000004,899.6242153535775
2.0000000000000004,2.0000000000000004,900.6285344662342
2.0100000000000007,2.0100000000000007,901.6031688100599
2.0200000000000005,2.0200000000000005,902.5482905076838
2.0300000000000002,2.0300000000000002,903.4640715037106
2.0400000000000005,2.0400000000000005,904.3506835399409
2.0500000000000007,2.0500000000000007,905.2082981312441
2.0600000000000005,2.0600000000000005,906.037086542079
2.0700000000000003,2.0700000000000003,906.8372197636423
2.0800000000000005,2.0800000000000005,907.6088684916497
2.0900000000000007,2.0900000000000007,908.3522031047295
2.1000000000000005,2.1000000000000005,909.0673936434195
2.1100000000000003,2.1100000000000003,909.7546097897666
2.1200000000000006,2.1200000000000006,910.4140208475086
2.130000000000001,2.130000000000001,911.0457957228357
2.1400000000000006,2.1400000000000006,911.6501029057167
2.1500000000000004,2.1500000000000004,912.2271104517911
2.1600000000000006,2.1600000000000006,912.7769859648001
2.170000000000001,2.170000000000001,913.2998965795663
2.1800000000000006,2.1800000000000006,913.7960089454987
2.1900000000000004,2.1900000000000004,914.2654892106206
2.2000000000000006,2.2000000000000006,914.7085030061069
2.210000000000001,2.210000000000001,915.1252154313281
2.2200000000000006,2.2200000000000006,915.515791039384
2.2300000000000004,2.2300000000000004,915.8803938231237
2.2400000000000007,2.2400000000000007,916.2191872016394
2.250000000000001,2.250000000000001,916.5323340072281
2.2600000000000007,2.2600000000000007,916.8199964728104
2.2700000000000005,2.2700000000000005,917.0823362197993
2.2800000000000007,2.2800000000000007,917.3195142464043
2.290000000000001,2.290000000000001,917.5316909163736
2.3000000000000007,2.3000000000000007,917.7190259481529
2.3100000000000005,2.3100000000000005,917.8816784044654
2.3200000000000007,2.3200000000000007,918.0198066822919
2.330000000000001,2.330000000000001,918.1335685032494
2.3400000000000007,2.3400000000000007,918.2231209043628
2.3500000000000005,2.3500000000000005,918.2886202292162
2.3600000000000008,2.3600000000000008,918.3302221194773
2.370000000000001,2.370000000000001,918.3480815067851
2.380000000000001,2.380000000000001,918.3423526050027
2.3900000000000006,2.3900000000000006,918.3131889028097
2.400000000000001,2.400000000000001,918.2607431566468
2.410000000000001,2.410000000000001,918.1851673839893
2.420000000000001,2.420000000000001,918.0866128569514
2.4300000000000006,2.4300000000000006,917.9652300962053
2.440000000000001,2.440000000000001,917.8211688652233
2.450000000000001,2.450000000000001,917.6545781648133
2.460000000000001,2.460000000000001,917.4656062279627
2.4700000000000006,2.4700000000000006,917.2544005149716
2.480000000000001,2.480000000000001,917.0211077088678
2.490000000000001,2.490000000000001,916.7658737111038
2.500000000000001,2.500000000000001,916.4888436375263
2.5100000000000007,2.5100000000000007,916.1901618146054
2.520000000000001,2.520000000000001,915.8699717759288
2.530000000000001,2.530000000000001,915.5284162589477
2.540000000000001,2.540000000000001,915.1656372019625
2.5500000000000007,2.5500000000000007,914.7817757413588
2.560000000000001,2.560000000000001,914.3769722090693
2.570000000000001,2.570000000000001,913.9513661302697
2.580000000000001,2.580000000000001,913.5050962212914
2.5900000000000007,2.5900000000000007,913.038300387758
2.600000000000001,2.600000000000001,912.5511157229259
2.610000000000001,2.610000000000001,912.0436785062366
2.620000000000001,2.620000000000001,911.5161242020653
2.630000000000001,2.630000000000001,910.9685874586652
2.640000000000001,2.640000000000001,910.4012021073045
2.6500000000000012,2.6500000000000012,909.8141011615825
2.660000000000001,2.660000000000001,909.207416816932
2.670000000000001,2.670000000000001,908.5812804502896
2.680000000000001,2.680000000000001,907.9358226199404
2.6900000000000013,2.6900000000000013,907.271173065526
2.700000000000001,2.700000000000001,906.5874607082138
2.710000000000001,2.710000000000001,905.8848136510206
2.720000000000001,2.720000000000001,905.1633591792885
2.7300000000000013,2.7300000000000013,904.4232237613076
2.740000000000001,2.740000000000001,903.6645330490811
2.750000000000001,2.750000000000001,902.8874118792289
2.760000000000001,2.760000000000001,902.0919842740255
2.7700000000000014,2.7700000000000014,901.2783734425676
2.780000000000001,2.780000000000001,900.4467017820674
2.790000000000001,2.790000000000001,899.5970908792711
2.800000000000001,2.800000000000001,898.7296615119903
2.8100000000000014,2.8100000000000014,897.844533650754
2.820000000000001,2.820000000000001,896.941826460568
2.830000000000001,2.830000000000001,896.0216583027824
2.840000000000001,2.840000000000001,895.0841467370643
2.8500000000000014,2.8500000000000014,894.1294085234691
